feature,importance
ems_arrival,0.07223748
chief_complaint_emb_2,0.043110806
chief_complaint_emb_4,0.024889909
chief_complaint_emb_0,0.0219261
chief_complaint_emb_1,0.021195788
hist_ckd,0.019357055
age_hr_interaction,0.018908812
is_injury_poison,0.018169157
hist_cad,0.017535768
chief_complaint_emb_5,0.017466098
age,0.017254239
hist_cancer,0.016639162
hist_diabetes_t1,0.014098812
hist_hypertension,0.014040524
hist_stroke,0.013638744
injury_cause_emb_0,0.012110526
hist_chf,0.011579665
chief_complaint_emb_16,0.011503321
hist_pe,0.011331437
injury_cause_emb_9,0.01113905
chief_complaint_emb_3,0.011134912
pain_score,0.010639904
resp_rate,0.010328733
chief_complaint_emb_6,0.010247675
episode,0.010089507
chief_complaint_emb_12,0.010057857
injury_cause_emb_5,0.0100315
hist_depression,0.010009514
chief_complaint_emb_18,0.009867943
injury_cause_emb_13,0.009863761
resp_spo2_ratio,0.009598713
chief_complaint_emb_8,0.009521444
chief_complaint_emb_11,0.009489605
chief_complaint_emb_27,0.009460357
visit_month_cos,0.0093133515
spo2,0.009299404
hist_esrd,0.009277815
chief_complaint_emb_10,0.009136107
chief_complaint_emb_9,0.009040356
shock_index,0.009006386
chief_complaint_emb_21,0.008981169
chief_complaint_emb_7,0.008867382
chief_complaint_emb_28,0.008848584
chief_complaint_emb_15,0.008717476
chief_complaint_emb_13,0.008701068
chief_complaint_emb_20,0.008696134
race,0.008641216
temp,0.008631737
heart_rate,0.008512036
hist_sleep_apnea,0.008475431
chief_complaint_emb_25,0.008411428
injury_cause_emb_7,0.008367228
chief_complaint_emb_23,0.008224685
injury_cause_emb_4,0.008185219
visit_month_sin,0.008178487
chief_complaint_emb_29,0.00814691
map,0.008051217
injury_cause_emb_12,0.008043291
hist_high_cholesterol,0.007987632
chief_complaint_emb_22,0.007900874
chief_complaint_emb_17,0.007877662
chief_complaint_emb_26,0.007861236
injury_cause_emb_1,0.007829592
chief_complaint_emb_24,0.007825088
sys_bp,0.007784007
injury_cause_emb_3,0.0077817813
injury_cause_emb_2,0.0077751335
chief_complaint_emb_14,0.0077238088
chief_complaint_emb_19,0.007687626
hist_hiv,0.0075910487
injury_cause_emb_15,0.007570699
injury_cause_emb_10,0.007548258
injury_cause_emb_14,0.007540643
injury_cause_emb_11,0.007537701
seen_last_72h,0.0075142784
pulse_pressure,0.007351263
injury_cause_emb_8,0.007343377
hist_obesity,0.0072198566
injury_cause_emb_6,0.007200348
hist_asthma,0.007173625
sex,0.0071076266
dias_bp,0.007067351
hist_diabetes_t2,0.006913578
arrival_hour_float_cos,0.0068195676
arrival_hour_float_sin,0.006657497
hist_substance_abuse,0.0065925047
day_of_week_sin,0.006125365
hist_diabetes_unspec,0.0060977973
hist_alzheimers,0.005985924
day_of_week_cos,0.005925984
hist_copd,0.0055875136
hist_osteoporosis,0.005265717
