track,class,support,precision,recall,f1,class_accuracy_pct
chief_complaint,1,846,0.8217821782178217,0.09810874704491726,0.17529039070749736,9.810874704491725
chief_complaint,2,8597,0.5227675931401538,0.20565313481447017,0.29518323733199764,20.565313481447017
chief_complaint,3,29568,0.6218330950004047,0.7794575216450217,0.6917801023547598,77.94575216450217
chief_complaint,4,16715,0.5596151643568893,0.5846245886927909,0.5718465634783626,58.46245886927909
chief_complaint,5,2398,0.4482758620689655,0.021684737281067557,0.04136833731105807,2.168473728106756
injury_cause,1,846,0.0,0.0,0.0,0.0
injury_cause,2,8597,0.6230366492146597,0.013842037920204723,0.02708238507055075,1.3842037920204724
injury_cause,3,29568,0.5279332276486429,0.9348281926406926,0.674787915776625,93.48281926406926
injury_cause,4,16715,0.5455523672883787,0.1819922225545917,0.2729352653537302,18.19922225545917
injury_cause,5,2398,0.0,0.0,0.0,0.0
