track,class,support_true_class,global_qwk,class_ovr_qwk,local_band_qwk_(c-1_to_c+1)
chief_complaint,1,846,0.42384787603720253,0.17272196058151923,0.017106225679028864
chief_complaint,2,8597,0.42384787603720253,0.2309549651317393,0.19138845850608455
chief_complaint,3,29568,0.42384787603720253,0.2899347523256217,0.4336477553654793
chief_complaint,4,16715,0.42384787603720253,0.39367034488917163,0.3856623791155862
chief_complaint,5,2398,0.42384787603720253,0.03770459594661979,0.02231024338733445
injury_cause,1,846,0.10626726899345207,0.0,-0.0018352920081807778
injury_cause,2,8597,0.10626726899345207,0.02078671377717911,0.03347271782304051
injury_cause,3,29568,0.10626726899345207,0.07026035608343262,0.14017076387318672
injury_cause,4,16715,0.10626726899345207,0.15075301838002053,0.09588657201883521
injury_cause,5,2398,0.10626726899345207,0.0,-0.012971842198889805
